tic_id,sector_run
6892385,44-44
6892385,45-45
6892385,46-46
6892385,71-71
6892385,72-72
6893917,44-44
6893917,45-45
6893917,46-46
6893917,71-71
6893917,72-72
6895773,44-44
6895773,46-46
6895773,71-71
6895773,72-72
6895773,45-45
6898572,67-67
6898578,67-67
6901243,67-67
6904949,67-67
6922232,44-44
6922232,45-45
6922232,46-46
6924518,45-45
6924518,46-46
6924518,71-71
6924518,72-72
6924518,44-44
6924840,44-44
6924840,45-45
6924840,46-46
6924840,71-71
6924840,72-72
6946549,67-67
6953394,44-44
6953394,45-45
6953394,46-46
6953394,71-71
6953394,72-72
6953740,71-71
6953740,72-72
6991747,7-7
6991747,71-71
6991747,72-72
6997843,34-34
6997843,7-7
6997843,45-45
6997843,46-46
6997843,71-71
6997843,72-72
7020254,34-34
7020254,7-7
7020254,45-45
7020254,46-46
7020254,71-71
7020254,72-72
7022037,44-44
7022037,45-45
7022037,46-46
7022037,71-71
7022037,72-72
7058524,44-44
7058524,45-45
7058524,46-46
7058524,71-71
7058524,72-72
7059054,44-44
7059054,45-45
7059054,46-46
7059054,71-71
7059054,72-72
7060775,34-34
7060775,7-7
7060775,44-44
7060775,45-45
7060775,46-46
7060775,71-71
7060775,72-72
7088246,13-13
7088246,67-67
7127224,67-67
7145074,29-29
7145074,69-69
7151484,29-29
7151484,2-2
7160677,54-54
7168536,54-54
7211118,34-34
7211118,7-7
7274938,61-61
7320873,4-4
7320873,5-5
7320873,6-6
7413227,11-11
7413227,38-38
7413227,64-64
7418947,4-4
7418947,5-5
7418947,32-32
7418947,31-31
7418947,33-33
7418947,6-6
7422496,5-5
7422496,32-32
7422496,33-33
7422496,31-31
7422496,6-6
7425828,34-34
7425828,7-7
7439481,38-38
7439481,64-64
7440160,11-11
7440160,38-38
7440160,64-64
7441558,38-38
7441558,64-64
7445001,5-5
7445001,6-6
7445001,32-32
7445001,33-33
7473539,38-38
7484436,39-39
7491381,4-4
7491381,5-5
7491381,6-6
7491381,32-32
7491381,31-31
7491381,33-33
7491678,5-5
7491678,6-6
7491678,32-32
7491678,31-31
7491678,33-33
7548817,26-26
7548817,25-25
7548817,14-14
7548817,40-40
7548817,54-54
7548817,52-52
7548817,74-74
7549413,11-11
7549413,38-38
7549413,64-64
7551387,38-38
7551387,64-64
7561203,34-34
7561203,61-61
7583660,26-26
7583660,25-25
7583660,14-14
7583660,40-40
7583660,41-41
7583660,54-54
7583660,74-74
7586485,4-4
7586485,5-5
7586485,32-32
7586485,31-31
7589380,38-38
7590917,38-38
7600145,4-4
7600145,5-5
7600145,32-32
7600145,31-31
7624182,4-4
7624182,5-5
7624182,32-32
7624182,31-31
7647775,4-4
7647775,5-5
7647775,32-32
7647775,31-31
7652962,4-4
7652962,5-5
7652962,32-32
7652962,31-31
7676606,26-26
7676606,25-25
7676606,14-14
7676606,40-40
7676606,54-54
7676606,53-53
7676606,52-52
7681574,25-25
7681574,40-40
7681574,74-74
7690679,4-4
7690679,5-5
7690679,32-32
7690679,31-31
7694175,26-26
7694175,25-25
7694175,14-14
7694175,40-40
7694175,54-54
7694175,53-53
7694175,52-52
7694175,74-74
7695666,4-4
7695666,5-5
7695666,32-32
7695666,31-31
7720507,26-26
7720507,25-25
7720507,40-40
7720507,41-41
7720507,54-54
7720507,53-53
7720507,74-74
7723060,4-4
7723060,5-5
7723060,32-32
7723060,31-31
7724421,4-4
7724421,5-5
7724421,32-32
7724421,31-31
7734409,38-38
7738623,4-4
7738623,5-5
7738623,32-32
7738623,31-31
7772500,26-26
7772500,25-25
7772500,40-40
7772500,41-41
7772500,54-54
7772500,53-53
7772500,74-74
7785194,4-4
7785194,5-5
7785194,32-32
7785194,31-31
7791094,38-38
7791094,65-65
7792499,38-38
7792499,65-65
7809229,4-4
7809229,5-5
7809229,32-32
7809229,31-31
7843830,34-34
7843830,8-8
7843830,61-61
7848746,34-34
7849727,26-26
7849727,14-14
7849727,40-40
7849727,54-54
7849727,53-53
7849727,52-52
7849727,74-74
7851729,26-26
7851729,14-14
7851729,40-40
7851729,54-54
7851729,53-53
7851729,52-52
7851729,74-74
7854182,26-26
7854182,25-25
7854182,40-40
7854182,41-41
7854182,54-54
7854182,53-53
7854182,52-52
7854182,74-74
7868082,38-38
7957665,38-38
7957665,65-65
7958041,38-38
7958041,65-65
7975930,61-61
7976072,61-61
7976960,35-35
7976960,62-62
7980490,35-35
7980490,45-45
